gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
128up,62.9910490678472,-0.229667772542279,0.176296976836635,-1.30273233644329,0.19266615826136,0.479163237753902
14-3-3epsilon,3920.87947411662,-0.0366023157284108,0.0685140193632608,-0.534231038677582,0.593181697142724,0.826140327293321
14-3-3zeta,6570.27003549318,-0.0641886169504131,0.0410880217867645,-1.56222213090556,0.118235668789672,0.364576678721373
140up,2.17735600618075,-1.26926609302676,0.714412256206914,-1.77665777987317,0.0756245627974744,0.278925465523174
18SrRNA-Psi:CR41602,0.103377602179228,-0.410226849275083,3.11653965008542,-0.131628952406827,0.895277784062803,NA
18w,286.016573895805,0.00408486925297202,0.0962727404097885,0.0424301753080324,0.966155773585815,0.98674566155694
26-29-p,138.905254230535,-0.325293030298365,0.158150543715132,-2.05685685712405,0.0396999970019849,0.184545956982035
28SrRNA-Psi:CR40596,124.342445285173,0.0491629029192464,0.331259403487281,0.148412097593885,0.882017553300262,0.952998030492354
28SrRNA-Psi:CR40741,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR41609,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR45848,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR45851,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR45855,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR45859,124.759401980802,0.442429348628997,0.831089077607233,0.532348890810578,0.594484376328239,0.826309756440346
28SrRNA-Psi:CR45860,0,NA,NA,NA,NA,NA
2mit,685.567356428994,0.133508079803254,0.0667331284191225,2.00062671968181,0.0454326318932415,0.201470604684411
312,110.779743760603,0.0290532295451854,0.133547997808321,0.217548971321045,0.827780547104268,0.936429811875197
4E-T,523.628272727993,0.163557593493917,0.1320382421841,1.23871380585232,0.215451504083242,0.510061156353688
5-HT1A,1905.13755990881,0.217852958325631,0.0760056805152874,2.86627205820245,0.00415337141719227,0.0364584846838458
5-HT1B,521.138721305123,0.228547963288088,0.0851064579583722,2.68543620273654,0.00724352019172375,0.055328893851566
5-HT2A,3472.92963895393,0.0589477250638988,0.256257299671484,0.230033349838106,0.818065855084542,0.932434634247573
5-HT2B,563.746067575261,0.254275768615899,0.0633825343537801,4.01176398527419,6.02667354629694e-05,0.00115107882930191
5-HT7,764.324358016071,0.0945725525979155,0.142333855988232,0.664441723589183,0.506407635955745,0.775326818188503
5.8SrRNA-Psi:CR45849,0,NA,NA,NA,NA,NA
5.8SrRNA-Psi:CR45857,0,NA,NA,NA,NA,NA
5.8SrRNA-Psi:CR45863,0,NA,NA,NA,NA,NA
5PtaseI,265.841436993237,-0.0424995741898873,0.0985168074969845,-0.431394147553839,0.666181804586365,0.8645987144596
7B2,2310.16135470625,-0.247666748898614,0.0596203343168851,-4.1540650809211,3.2662021168235e-05,0.000688931965336944
A16,73.4234469342408,0.0652998295068726,0.138404419967275,0.471804509728177,0.63706633167271,0.849372207293182
AANAT1,443.324672196119,0.425438581060773,0.11881422165664,3.58070418783909,0.000342669434077764,0.00479539513804594
AANATL2,0.963950078086863,-0.714459116866204,1.07933760915674,-0.661942204927331,0.508008262093645,NA
AANATL7,51.490977425223,0.427050653632408,0.162600291475663,2.62638307568057,0.00862976354039314,0.0631143610888853
ABCA,458.150790351503,0.147823983160367,0.13209665307264,1.11905926245594,0.263114857583247,0.564133914122798
ABCB7,213.271646625371,-0.12948477732086,0.148558897263246,-0.871605670923993,0.383423535914753,0.680198213274418
ABCD,1382.04142825287,0.054954760323238,0.217192960363088,0.25302275097392,0.800250632365088,0.923840397720143
ACC,602.814084088459,0.133428554086524,0.0754005384916338,1.76959683253891,0.0767943268980093,0.281809252672273
ACXB,0,NA,NA,NA,NA,NA
ACXC,1.23120497373408,0.94356706080763,1.13684384653916,0.829988272954188,0.406545414030689,NA
ACXD,2.30082898057626,0.53130414571568,0.744823468176558,0.713328954331144,0.475642224617564,0.753291719543266
ADD1,277.401079366967,0.198281287387271,0.0778451525663712,2.54712439824965,0.0108614706895758,0.0742847013233487
ADPS,320.797594772883,0.308899328611505,0.0743971589818985,4.15203124472351,3.29537256516046e-05,0.000693075900481868
AGBE,148.591039073032,-0.054413763285016,0.146147818199804,-0.372320052090172,0.709654570681282,0.884360555356769
AGO1,6189.08880994005,0.0857259490823351,0.0365111710199497,2.34793754041727,0.0188776866106608,0.111525757141076
AGO2,439.623144377055,0.0704022306891124,0.130932650392659,0.53769804917246,0.590785526283298,0.824145291435409
AGO3,1213.51900517534,-0.366546815087042,0.347631631751598,-1.05441157135252,0.291694526785713,0.590001001706875
AIF,73.564313073003,-0.053406443062103,0.137548648325792,-0.388273121634804,0.697813925868612,0.878290085523924
AIMP1,60.5429561210829,-0.361979598084461,0.183746565605488,-1.96999381670973,0.048839079216682,0.211422950303269
AIMP2,121.467067741632,0.228075591050987,0.19174241526069,1.1894895072689,0.234247097566624,0.5333592393593
AIMP3,97.7743129521081,-0.256328195288396,0.110970233161626,-2.30988246113766,0.0208946623272046,0.119764326468265
ALiX,181.906225720701,-0.157093536454458,0.105506034110684,-1.48895309902044,0.136499719544345,0.393935461941308
AMPKalpha,189.077012777836,-0.00626898717283701,0.0939951619275756,-0.0666947856068097,0.946824685553733,0.981874162552334
AMPdeam,2254.55880528578,-0.13980627039607,0.103337611528627,-1.35290789411501,0.176085057163673,0.45535570752667
AOX1,72.7988597816619,-0.269371535198122,0.221947145116395,-1.21367425139375,0.224872140592825,0.520647332832957
AOX2,0,NA,NA,NA,NA,NA
AOX3,111.84218383057,-0.448598413439275,0.10684827530799,-4.19846190447335,2.68734050249842e-05,0.000587260565666096
AOX4,0,NA,NA,NA,NA,NA
AP-1-2beta,129.230913942311,-0.283943852575179,0.125628419264559,-2.26018805487973,0.0238095819044495,0.130665405368536
AP-1gamma,2151.8265230871,-0.109553582546805,0.0344571627873262,-3.17941390656518,0.00147573200317882,0.0160521700853995
AP-1mu,127.757320281646,-0.0707867553855638,0.106383528181659,-0.665392063935774,0.505799759557729,0.774885231642442
AP-1sigma,681.481346375661,0.152380280183772,0.141635009749038,1.0758659208184,0.281987225134163,0.580486856379435
AP-2alpha,692.039652022561,0.135674938922073,0.0846615906836463,1.60255598585488,0.109032717711394,0.3461741216343
