cluster,marker
spermatocyte,tHMG2
spermatocyte, twi
spermatocyte, tHMG1
spermatocyte, dac
spermatocyte, Zif
spermatocyte,CG11970
spermatocyte, CG7691
spermatocyte, CG8478
spermatocyte, dmrt93B
spermatocyte, CG30431
spermatocyte, topi
spermatocyte, ouib
spermatocyte, C15
spermatocyte, CG12104
spermatocyte, CG34367
spermatocyte, CG7386
spermatocyte, kmg
spermatocyte, CG4707
spermatocyte, ftz
spermatocyte, CG13617
spermatocyte, CG15073
spermatocyte, CG6813
spermatocyte, vis
spermatocyte, dsf
spermatocyte, CG8388
spermatocyte 0,Phs
spermatocyte 0, D1
spermatocyte 0,CG31365
spermatocyte 0, prg
spermatocyte 0, CG44002
spermatocyte 0, CG17359
spermatocyte 0, stwl
spermatocyte 0, CG17385
spermatocyte 0, Sry-delta
spermatocyte 0, CG12942
spermatocyte 0, Pbp95
spermatocyte 0, CG3995
spermatocyte 0, CG15436
spermatocyte 0, p53
spermatocyte 0, Asciz
spermatocyte 0, CG4360
spermatocyte 0, dany
spermatocyte 0, CG4318
spermatocyte 0, CG17612
spermatocyte 0, CG15812
spermatocyte 0, Meics
spermatocyte 1,stwl
spermatocyte 1, Phs
spermatocyte 1, dany
spermatocyte 1, CG17385
spermatocyte 1, p53
spermatocyte 1,CG31365
spermatocyte 1, polybromo
spermatocyte 1, CG15710
spermatocyte 1, prg
spermatocyte 1, CG44002
spermatocyte 1, CG17359
spermatocyte 1, CG11902
spermatocyte 1, CG16863
spermatocyte 1, CG8319
spermatocyte 1, CG17328
spermatocyte 1, CG12942
spermatocyte 1, CG18011
spermatocyte 1, Pbp95
spermatocyte 1, CG5245
spermatocyte 1, CG4730
spermatocyte 1, CG3995
spermatocyte 1, CG15436
spermatocyte 1, kmg
spermatocyte 1, tef
spermatocyte 1, CG14965
spermatocyte 1, Asciz
spermatocyte 1, CG10366
spermatocyte 1, CG9876
spermatocyte 1, CG4318
spermatocyte 1, CG17612
spermatocyte 1, CG15812
spermatocyte 1, CG14860
spermatocyte 1, CG33213
spermatocyte 1, CG1602
spermatocyte 1, CG3281
spermatocyte 1, Meics
spermatocyte 1, az2
spermatocyte 2,CG31365
spermatocyte 2, polybromo
spermatocyte 2, CG15710
spermatocyte 2, stwl
spermatocyte 2, Phs
spermatocyte 2, dany
spermatocyte 2, CG17385
spermatocyte 2, kmg
spermatocyte 2, insv
spermatocyte 2, OdsH
spermatocyte 2, CG17612
spermatocyte 2, M1BP
spermatocyte 2, CG2116
spermatocyte 2, achi
spermatocyte 2, CG4820
spermatocyte 2, CG3995
spermatocyte 2, Meics
spermatocyte 2,CG17568
spermatocyte 2, CG44002
spermatocyte 2, CG17359
spermatocyte 2, CG1663
spermatocyte 2, CG13123
spermatocyte 2, ZIPIC
spermatocyte 2, CG16863
spermatocyte 2, CG11906
spermatocyte 2, CG17328
spermatocyte 2, CG9215
spermatocyte 2, topi
spermatocyte 2, CG12942
spermatocyte 2, CG18011
spermatocyte 2, CG5245
spermatocyte 2, CG4730
spermatocyte 2, CG14711
spermatocyte 2, CG15436
spermatocyte 2, tef
spermatocyte 2, CG14965
spermatocyte 2, CkIIalpha-i1
spermatocyte 2, Hmg-2
spermatocyte 2, Asciz
spermatocyte 2, CG17801
spermatocyte 2, CG10366
spermatocyte 2, CG9876
spermatocyte 2, CG4318
spermatocyte 2, CG15812
spermatocyte 2, CG33213
spermatocyte 2, CG10669
spermatocyte 2, CG1602
spermatocyte 2, CG3281
spermatocyte 2, az2
spermatocyte 3,polybromo
spermatocyte 3, CG15710
spermatocyte 3, CG17568
spermatocyte 3, CG17359
spermatocyte 3, insv
spermatocyte 3, CG1663
spermatocyte 3, D19B
spermatocyte 3, M1BP
spermatocyte 3, ZIPIC
spermatocyte 3, CG7691
spermatocyte 3, CG4820
spermatocyte 3, Zif
spermatocyte 3, CG11906
spermatocyte 3, CG9215
spermatocyte 3, stwl
spermatocyte 3, Phs
spermatocyte 3, CG17385
spermatocyte 3, topi
spermatocyte 3, CG15011
spermatocyte 3, CG12942
spermatocyte 3, CG12104
spermatocyte 3, CG18011
spermatocyte 3, CG3995
spermatocyte 3, CG14711
spermatocyte 3, CG15436
spermatocyte 3, CG7386
spermatocyte 3, kmg
spermatocyte 3, OdsH
spermatocyte 3, CG13617
spermatocyte 3, CG14965
spermatocyte 3, Odj
spermatocyte 3, CkIIalpha-i1
spermatocyte 3, Hmg-2
spermatocyte 3, E2f2
spermatocyte 3, Asciz
spermatocyte 3, dany
spermatocyte 3, NC2beta
spermatocyte 3, CG10366
spermatocyte 3, CG4318
spermatocyte 3, CG6813
spermatocyte 3, CG17612
spermatocyte 3, CG15812
spermatocyte 3, CG2116
spermatocyte 3, achi
spermatocyte 3, CG33213
spermatocyte 3, Meics
spermatocyte 3, nom
spermatocyte 3,amos
spermatocyte 3, CG17328
spermatocyte 3, CG17801
spermatocyte 3, ouib
spermatocyte 3, az2
spermatocyte 3, CG13123
spermatocyte 3, CG6808
spermatocyte 3, CG16863
spermatocyte 3, CG2129
spermatocyte 3, CG15435
spermatocyte 3, CG1602
spermatocyte 3, CG5245
spermatocyte 3, CG4730
spermatocyte 3, CG3281
spermatocyte 3, Atf-2
spermatocyte 4,CG15710
spermatocyte 4, CG17568
spermatocyte 4, CG11970
spermatocyte 4, CG1663
spermatocyte 4, CG13123
spermatocyte 4, D19B
spermatocyte 4, CG12744
spermatocyte 4, M1BP
spermatocyte 4, CG16863
spermatocyte 4, CG7691
spermatocyte 4, CG4820
spermatocyte 4, Zif
spermatocyte 4, Lpt
spermatocyte 4, CG11906
spermatocyte 4, Atf-2
spermatocyte 4, CG8478
spermatocyte 4, CG9215
spermatocyte 4, Phs
spermatocyte 4, CG17385
spermatocyte 4, topi
spermatocyte 4, Sry-delta
spermatocyte 4, CG12942
spermatocyte 4, maf-S
spermatocyte 4, CG12104
spermatocyte 4, CG18011
spermatocyte 4, CG4730
spermatocyte 4, CG3995
spermatocyte 4, CG14711
spermatocyte 4, CG15436
spermatocyte 4, CG7386
spermatocyte 4, Dlip1
spermatocyte 4, kmg
spermatocyte 4, OdsH
spermatocyte 4, CG4707
spermatocyte 4, CG13617
spermatocyte 4, CG14965
spermatocyte 4, Odj
spermatocyte 4, CkIIalpha-i1
spermatocyte 4, Hmg-2
spermatocyte 4, E2f2
spermatocyte 4, CG9890
spermatocyte 4, Asciz
spermatocyte 4, lov
spermatocyte 4, dany
spermatocyte 4, CG11294
spermatocyte 4, CG10366
spermatocyte 4, CG4318
spermatocyte 4, NC2beta
spermatocyte 4, CG6813
spermatocyte 4, vis
spermatocyte 4, CG17612
spermatocyte 4, CG15812
spermatocyte 4, achi
spermatocyte 4, CG2129
spermatocyte 4, CG33213
spermatocyte 4, CG8388
spermatocyte 4, CG3281
spermatocyte 4, Meics
spermatocyte 4, nom
spermatocyte 4,amos
spermatocyte 4, CG17328
spermatocyte 4, CG4424
spermatocyte 4, ouib
spermatocyte 4, wor
spermatocyte 4, CG6808
spermatocyte 4, ZIPIC
spermatocyte 4, dsf
spermatocyte 4, CG1602
spermatocyte 4, CG18262
spermatocyte 4, CG5245
spermatocyte 4, CG4854
spermatocyte 5,D1
spermatocyte 5, CG11970
spermatocyte 5, CG1663
spermatocyte 5, CG13123
spermatocyte 5, tHMG1
spermatocyte 5, D19B
spermatocyte 5, M1BP
spermatocyte 5, CG7691
spermatocyte 5, CG4820
spermatocyte 5, Zif
spermatocyte 5, Atf-2
spermatocyte 5, CG8478
spermatocyte 5, CG30431
