"primerid" "Pr(>Chisq)" "coef" "FDR"
"128up" 2.20051715259803e-07 0.0533669501838595 3.82238317506451e-07
"14-3-3epsilon" 2.40286805357949e-19 -0.315225912975509 7.87947387437506e-19
"26-29-p" 8.37946718454034e-15 0.0816848317849625 2.21268654280296e-14
"28SrRNA-Psi:CR45859" 6.12847474663977e-12 0.0552180581677612 1.38212451475107e-11
"5-HT1A" 0.00752687396600358 -0.035212664353591 0.00937334170967083
"5-HT2A" 6.66941233627104e-47 -0.391307726139254 6.09858053805745e-46
"5-HT7" 9.93399863934815e-87 -0.357289567462369 2.11185717266954e-85
"5PtaseI" 1.92033200544948e-06 -0.035443842737119 3.141543140165e-06
"AANAT1" 1.06262109442226e-13 -0.248413692400612 2.64738675992888e-13
"AANATL7" 1.39626566853053e-15 0.164684515446384 3.84202406031924e-15
"ABCA" 4.51930383025186e-07 -0.0629454424324033 7.70950893730948e-07
"ABCB7" 0.0054033728577439 0.0251125837757102 0.00680990837443016
"ABCD" 2.06646859057333e-06 -0.0581689207667716 3.36877012741188e-06
"ACC" 6.63914911719302e-31 0.158577100977392 3.60632380062313e-30
"AGBE" 1.44859551587013e-26 0.0725303945585672 6.75581071321171e-26
"AGO1" 7.32652843445319e-94 -0.779325578007227 1.78392448159825e-92
"AGO3" 6.03120079936582e-131 -0.994021138884854 2.42871816805231e-129
"AIMP3" 1.63711066031963e-29 0.106371667008782 8.47493132931842e-29
"AMPKalpha" 0.0037347653122028 0.0283271523615786 0.0047788564398122
"AMPdeam" 0.000242091711432912 0.0508806218898423 0.000342874564586078
"AP-1gamma" 2.78769814381716e-21 -0.198069488858028 1.01344442936686e-20
"AP-1mu" 0.00608837489187175 0.0306232356847866 0.00764561140844344
"AP-1sigma" 0.000656909309929474 -0.0626348821312261 0.000897890401431018
"AP-2alpha" 2.47336816101869e-13 -0.0980571332991591 6.02586728234221e-13
"AP-2sigma" 2.27238651125838e-06 0.0427293604254453 3.69726290176772e-06
"ASPP" 2.74888668711863e-213 -1.41959521841254 3.11144255287915e-211
"ATP6AP2" 2.13042083945592e-25 0.140344031578539 9.54246254079293e-25
"ATP8A" 8.37395656206372e-47 -0.526445235697215 7.6405512161052e-46
"ATPCL" 1.55177414719515e-13 0.15088959852852 3.83185738705971e-13
"ATPsynB" 3.33263629300342e-27 0.23246966528784 1.58964473748272e-26
"ATPsynC" 5.01479390815484e-17 0.293201201645124 1.462531816668e-16
"ATPsynCF6" 1.30852891166311e-30 0.291390012269809 6.99887494514063e-30
"ATPsynD" 1.4841498870769e-26 0.180074722624612 6.91392628151064e-26
"ATPsynE" 2.16594887461168e-44 0.297299384216022 1.84745293011684e-43
"ATPsynF" 1.89574208718997e-32 0.319773355739249 1.0981145036171e-31
"ATPsynG" 6.4204824233482e-32 0.290482636473718 3.62874229271016e-31
"ATPsynO" 2.0247481089945e-26 0.193167524502522 9.41137078853381e-26
"ATPsynbeta" 2.16737298739976e-13 0.159521728061201 5.30506024034494e-13
"ATPsyndelta" 2.02737987802047e-27 0.158697719255471 9.77061787013777e-27
"ATPsyngamma" 8.41938560163082e-19 0.153075409872916 2.69368883877997e-18
"Abd-B" 7.25143619137821e-13 -0.0377982593192729 1.72257599373182e-12
"Abl" 8.02272208332133e-07 -0.0710426820242355 1.34289208972621e-06
"Ac76E" 0.000138499798109078 0.00631619577150596 0.000199874967085052
"Ac78C" 1.2097546230475e-15 -0.0938059755620306 3.34198704572754e-15
"AcCoAS" 0.000145667510251575 0.0667048406380773 0.000209425174367867
"Acbp1" 1.51128935979123e-11 0.0575833808209973 3.32594841765932e-11
"Acbp2" 1.96156448155196e-61 0.475690165221718 2.65001033830309e-60
"Acbp3" 2.06913843137988e-05 0.0385989108317646 3.18235466420085e-05
"Acn" 9.47788780125370e-12 -0.085406883459271 2.11022828876398e-11
"Acox57D-p" 7.48330781785292e-06 0.0181708322172514 1.18757457905146e-05
"Acp24A4" 6.93769655164454e-96 0.620817061989478 1.76091352474469e-94
"Acp26Aa" 1.17789517766343e-192 0.713262445781765 1.0067397967458e-190
"Acp26Ab" 2.57510496001762e-106 0.669651554976588 7.54163606472294e-105
"Acp29AB" 1.18286828218962e-35 0.482697540410968 7.66850211425719e-35
"Acp32CD" 6.0163461922379e-45 0.471511408182139 5.21665794059883e-44
"Acp33A" 5.28081141216775e-213 0.768571836636584 5.82001005109435e-211
"Acp36DE" 3.99307957348932e-153 0.624162761421147 2.11683762705991e-151
"Acp53C14a" 1.27350085497948e-276 0.772046176946208 2.22225899193918e-274
"Acp53C14b" 1.31645676671467e-224 0.676198748466021 1.62156498205913e-222
"Acp53C14c" 7.11719610772368e-37 0.486440694860312 4.83092662871099e-36
"Acp53Ea" 3.67830891598495e-303 0.918222705247301 7.70237887007249e-301
"Acp54A1" 2.56993992541965e-160 0.890759128925242 1.49484838995243e-158
"Acp62F" 5.77004534522388e-114 0.446452311683642 1.85884230044597e-112
