"s_annotation","broad_annotation"
"adult antenna glial cell","glial cell"
"adult olfactory receptor neuron acid-sensing, Ir64a","sensory neuron"
"adult olfactory receptor neuron acid-sensing, Ir75a/b/c, Ir64a","sensory neuron"
"adult olfactory receptor neuron Ir56a+, Orco-","sensory neuron"
"adult olfactory receptor neuron Ir75d","sensory neuron"
"adult olfactory receptor neuron Ir84a, Ir31a, Ir76a, Ir76b, Ir8a, Or35a","sensory neuron"
"adult olfactory receptor neuron Or13a","sensory neuron"
"adult olfactory receptor neuron Or22a, Or42b, Or59b","sensory neuron"
"adult olfactory receptor neuron Or47a, Or56a and likely other ORN types","sensory neuron"
"adult olfactory receptor neuron Or47b","sensory neuron"
"adult olfactory receptor neuron Or65","sensory neuron"
"adult olfactory receptor neuron Or67a and likely other unknown ORN types","sensory neuron"
"adult olfactory receptor neuron Or67d","sensory neuron"
"adult olfactory receptor neuron Or83c and Or82a","sensory neuron"
"adult olfactory receptor neuron Or85a, Or43b","sensory neuron"
"adult olfactory receptor neuron Or88a","sensory neuron"
"adult olfactory receptor neuron Or92a","sensory neuron"
"adult olfactory receptor neuron unknown type, Orco-","sensory neuron"
"adult olfactory receptor neuron unknown type, Orco+","sensory neuron"
"arista and sacculus thermosensory and hygrosensory neuron Ir21a, Ir40a, Gr28b","sensory neuron"
"olfactory receptor neuron, coeloconics","sensory neuron"
"sacculus/arista neuron","neuron"
"muscle cell","muscle cell"
"hemocyte","hemocyte"
"epithelial cell","epithelial cell"
"adult glial cell","glial cell"
"adult olfactory receptor neuron Gr21a/63a","sensory neuron"
"Johnston organ neuron","sensory neuron"
"adult Malpighian tubule principal cell","excretory system"
"cell body glial cell","glial cell"
"CNS surface associated glial cell","glial cell"
"eo support cell","epithelial cell"
"follicle cell","female reproductive system"
"follicle cell St. 9+","female reproductive system"
"germline cell","female germline cell"
"leg muscle motor neuron","neuron"
"leg taste bristle chemosensory neuron","sensory neuron"
"multidendritic neuron","neuron"
"prefollicle cell/stalk follicle cell","female reproductive system"
"scolopidial neuron","sensory neuron"
"epidermal cell of the abdominal posterior compartment","epithelial cell"
"epidermal cell that specialized in antimicrobial response","epithelial cell"
"tendon cell","epithelial cell"
"testis","male reproductive system"
"ovary cell","female reproductive system"
"crystal cell","hemocyte"
"midgut","epithelial cell"
"adult ventral nervous system","neuron"
"adult fat body","fat cell"
"adult oenocyte","oenocyte"
"indirect flight muscle","muscle cell"
