"primerid" "Pr(>Chisq)" "coef" "FDR"
"5-HT2A" 0.000191706664148782 -0.190295329416365 0.000575632577109844
"AANATL7" 7.37079746481489e-05 0.179007826432259 0.000241323777055018
"AGO1" 6.98583969600487e-08 -0.442882879098137 4.31049339484256e-07
"AMPdeam" 3.96908942888086e-06 -0.273012329133359 1.70777296116215e-05
"ASPP" 9.14682644403913e-05 -0.265538048339254 0.000291814945927726
"ATPsynC" 0.000896733082853272 0.181256439829573 0.00234739219590728
"ATPsynD" 3.47403944414891e-05 0.195449699160937 0.000121917071743101
"ATPsynF" 2.71320198321939e-05 0.21192017720148 9.91817896326067e-05
"Acbp2" 4.80915741941668e-07 0.322862324260675 2.51194594511857e-06
"Acp26Aa" 1.06185386929208e-05 0.364708453752354 4.14049269171877e-05
"Acp26Ab" 8.1396646580509e-06 0.369048647855794 3.27628796092873e-05
"Acp29AB" 9.29580958660606e-05 0.163641525432387 0.000294892490558153
"Acp33A" 2.38097323901236e-30 0.753152358699619 2.05679457493145e-28
"Acp36DE" 1.32344963203865e-13 0.588615971146143 1.85779242097425e-12
"Acp53C14a" 2.43809700725508e-17 0.576248202014928 5.82549561520736e-16
"Acp53C14b" 8.06130473832939e-16 0.409319353799329 1.56083538295584e-14
"Acp53Ea" 9.25561590059693e-18 0.696283907233561 2.36228560372053e-16
"Acp62F" 3.07640891397359e-08 0.369253331313394 2.02035509379669e-07
"Acp63F" 0.00232987238373015 0.231028064011289 0.00561469246122093
"Acp95EF" 9.23642539832686e-25 0.454568018882038 4.32187738430044e-23
"Acp98AB" 7.15334920797214e-06 0.409054919395412 2.92116769474644e-05
"Aps" 0.000570126135902102 -0.21791037136474 0.00153537566095458
"Ars2" 8.94797691848874e-06 -0.286294316063603 3.53823171812073e-05
"Atf6" 6.81246026135474e-05 -0.264821773457398 0.000223695698055596
"Awh" 1.29941587915046e-05 -0.26639497751913 4.98035505899648e-05
"BG642312" 1.10922938923407e-06 0.344729701048689 5.43958342406055e-06
"Bacc" 0.000378979051745466 0.210393808051534 0.0010639836877754
